2WEI||Survivor||Survivor
Jimmy Eat World||Bleed American||Sweetness
Jimmy Eat World||Bleed American||Your House
Jimmy Eat World||Clarity ||A Sunday
Jimmy Eat World||Clarity ||Blister
Jimmy Eat World||Clarity ||Lucky Denver Mint
Jimmy Eat World||Clarity ||Sweetness 
Jimmy Eat World||Clarity ||Table For Glasses
Joan Of Arc||How Memory Works||Osmosis Doesn't Work
John Lennon||Imagine||Oh My Love 
John Lennon||Imagine||Oh Yoko! 
John Lennon||Rushmore||Oh Yoko
Johnny Cash||At Folsom Prison ||25 Minutes to Go 
Johnny Cash||At Folsom Prison ||Flushed from the Bathroom of Your Heart 
Johnny Cash||At Folsom Prison ||Folsom Prison Blues 
Joy Division||Closer||The Eternal 
Joy Division||Still ||Dead Souls 
Joy Division||Still ||Decades 
Joy Division||The Best Of||Love Will Tear Us Apart
Joy Division||The Best Of||Transmission
Joy Division||Unknown Pleasures||She's Lost Control 
Juno Reactor||Bible Of Dreams||God Is God
Juno Reactor||Bible Of Dreams||Swampthing
Jurassic 5||Power In Numbers||Sum Of Us 
Jurassic 5||Power In Numbers||Thin Line 
Kanye West||Late Registration||Bring Me Down
Kanye West||Late Registration||Gone
Kanye West||Late Registration||Hey Mama
Kanye West||My Beautiful Dark Twisted Fantasy||Runaway
Kanye West||Yeezus||Black Skinhead
Klute||Covered In Black: An Industrial Tribute To The Kings Of High Voltage AC/DC||The Furor
LCD Soundsystem||LCD Soundsystem||Yeah 
LCD Soundsystem||This Is Happening||Dance Yrself Clean
LCD Soundsystem||This Is Happening||Home
Lagwagon||Blaze||Baggage
Lagwagon||Blaze||Billionare
Lagwagon||Blaze||Dancing The Collapse
Lagwagon||Let's Talk About Leftovers||Freedom of Choice
Le Tigre||Le Tigre||My My Metrocard
Le Tigre||Le Tigre||The The Empty
Led Zeppelin||Led Zeppelin III ||Immigrant Song
Led Zeppelin||Led Zeppelin ||Babe I'm Gonna Leave You
Leftfield||Leftism||Open Up 
Leonard Cohen||Songs Of Love And Hate||Avalanche
Leonard Cohen||Songs Of Love And Hate||Diamonds in the Mine
Leonard Cohen||Songs Of Love And Hate||Dress Rehearsal Rag
Leonard Cohen||Songs Of Love And Hate||Famous Blue Raincoat
Leonard Cohen||Songs Of Love And Hate||Sing Another Song, Boys
Lights of Euphoria||Industrial Confusion||Injustice
Little Richard||Here's Little Richard||Tutti Frutti
Liz Phair||Exile In Guyville ||6'1" 
Liz Phair||Exile In Guyville||6'1"
Liz Phair||Exile In Guyville||Fuck and Run
Liz Phair||Exile In Guyville||Never Said
London Symphony Orchestra||Britten:The Young Person's Guide to the Orchestra; Four Sea Interludes etc||The Young Person's Guide to the Orchestra, Op.34
Lorde||Melodrama||Perfect Places
Low||The Great Destroyer||Broadway 
Low||The Great Destroyer||California
Low||The Great Destroyer||Monkey
Low||The Great Destroyer||Step
Low||The Great Destroyer||When I Go Deaf
Low||Things We Lost in the Fire||Like a Forest
M. Ward||Transistor Radio||You Still Believe In Me
M.F.S.B.||Saturday Night Fever ||K-Jee
M.I.A.||Kala||Come Around 
M.I.A.||Kala||Paper Planes
M.I.A.||Kala||World Town
M83||Dead Cities, Red Seas & Lost Ghosts||Gone
M83||Hurry Up, We're Dreaming||Ok Pal
M83||Hurry Up, We're Dreaming||Reunion
M83||Hurry Up, We're Dreaming||Wait
M83||Junk||Do It, Try It
M83||Junk||Tension
Madonna||Like A Prayer||Like A Prayer
Madonna||Like A Virgin ||Like A Virgin
Madonna||The Immaculate Collection||Into The Groove
Madonna||The Immaculate Collection||Papa Don't Preach
Madonna||The Immaculate Collection||Vogue
Madonna||True Blue ||La Isla Bonita 
Man or Astro-man?||1000x||Man Made of co2
Marilyn Manson||Antichrist Superstar||Man That You Fear 
Marilyn Manson||Portrait Of An American Family||Lunchbox 
Marilyn Manson||THE PALE EMPEROR ||Slave Only Dreams To Be King
Matthew Sweet||100 % Fun||Everything Changes
Matthew Sweet||100 % Fun||Sick Of Myself
Matthew Sweet||In Reverse||Thunderstorm
Matthew Sweet||Kimi Ga Suki||The Ocean In-Between
Megadeth||Countdown To Extinction||Architecture Of Aggression 
Metallica||Master Of Puppets||Damage, Inc. 
Metallica||Master Of Puppets||Welcome Home  
Metallica||Master of Puppets ||Welcome Home  
Michael Jackson||Bad ||Leave Me Alone 
Michael Jackson||Bad ||Smooth Criminal 
Michael Jackson||Got To Be There||Rockin' Robin
Michael Jackson||Off the Wall||It's the Falling in Love
Michael Jackson||Off the Wall||Workin' Day and Night
Michael Jackson||The Essential Michael Jackson||Don't Stop 'Til You Get Enough 
Michael Jackson||The Essential Michael Jackson||Human Nature 
Michael Jackson||The Essential Michael Jackson||In the Closet 
Michael Jackson||The Essential Michael Jackson||Leave Me Alone
Michael Jackson||The Essential Michael Jackson||Man in the Mirror
Michael Jackson||The Essential Michael Jackson||Thriller 
Michael Jackson||Thriller||Billie Jean
Mirah||C'mon Miracle||The Dogs Of B.A.
Mobius Band||The Loving Sounds of Static||The Loving Sounds of Static
Moby||Animal Rights||Face It
Moby||Animal Rights||Heavy Flow
Moby||Animal Rights||Living
Moby||Animal Rights||Someone To Love
Moby||Animal Rights||That's When I Reach For My Revolver
Modest Mouse||Good News For People Who Love Bad News||Bukowski 
Modest Mouse||Good News For People Who Love Bad News||Bury Me With It 
Modest Mouse||Good News For People Who Love Bad News||Float On
Modest Mouse||Good News For People Who Love Bad News||The World At Large 
Modest Mouse||Interstate 8||Tundra/Desert
Modest Mouse||Night on the Sun||Wild Pack of Family Dogs
Modest Mouse||The Lonesome Crowded West||Convenient Parking
Modest Mouse||The Lonesome Crowded West||Doin' the Cockroach
Modest Mouse||The Moon & Antarctica||3rd Planet
Modest Mouse||The Moon & Antarctica||Dark Center Of The Universe
Modest Mouse||The Moon & Antarctica||Gravity Rides Everything
Modest Mouse||The Moon & Antarctica||Paper Thin Walls
Modest Mouse||The Moon & Antarctica||Wild Packs Of Family Dogs
Modest Mouse||We Were Dead Before The Ship Even Sank||Education
Morphine||Cure For Pain||Candy
Morphine||Cure For Pain||Cure For Pain
Morphine||Cure For Pain||I'm Free Now
Morphine||Cure For Pain||In Spite Of Me
Morrissey||Kill Uncle ||Asian Rut 
Morrissey||Kill Uncle ||Our Frank 
Morrissey||Viva Hate [Remastered]||Suedehead 
Mumford & Sons||Sigh No More||Awake My Soul
Mumford & Sons||Sigh No More||Little Lion Man
Mumford & Sons||Sigh No More||Roll Away Your Stone
Mumford & Sons||Sigh No More||White Blank Page
My Bloody Valentine||Loveless||Blown A Wish
My Life With the Thrill Kill Kult||Confessions Of A Knife||A Daisy Chain 4 Satan 
My Life With the Thrill Kill Kult||Confessions Of A Knife||The Days Of Swine & Roses
My Life With the Thrill Kill Kult||Hit & Run Holiday||Apollo 69
NOFX||45 Or 46 Songs That Weren't Good Enough To Go On Our Other Records||Timmy The Turtle
NOFX||45 Or 46 Songs That Weren't Good Enough To Go On Our Other Records||Whoa On The Whoas
NOFX||Heavy Petting Zoo||Freedom Like A Shopping Cart
Neil Young||After The Gold Rush ||Southern Man 
Neon Indian||Vega Intl. Night School||Techno Clique
New Order||Republic||World 
New Pornographers||Mass Romantic||Mass Romantic
Nick Cave & The Bad Seeds||Let Love In ||I Let Love In 
Nick Cave & The Bad Seeds||Let Love In ||Lay Me Low 
Nick Cave & The Bad Seeds||Let Love In ||Nobody's Baby Now 
Nick Cave & The Bad Seeds||Let Love In ||Thirsty Dog 
Nine Inch Nails||Broken||Happiness In Slavery
Nine Inch Nails||Broken||Physical 
Nine Inch Nails||Fixed||Wish 
Nine Inch Nails||Pretty Hate Machine||Down In It
Nine Inch Nails||Pretty Hate Machine||Head Like A Hole
Nine Inch Nails||Pretty Hate Machine||Sin
Nine Inch Nails||Pretty Hate Machine||Terrible Lie
Nine Inch Nails||Sin||Sin 
Nine Inch Nails||The Crow Original Motion Picture Soundtrack||Dead Souls
Nine Inch Nails||The Downward Spiral||Eraser
Nine Inch Nails||The Downward Spiral||Ruiner
Nine Inch Nails||The Downward Spiral||The Becoming
Nirvana||Bleach ||Love Buzz 
Nirvana||Bleach ||Molly's Lips 
Nirvana||Bleach ||Mr. Moustache 
Nirvana||Bleach ||School 
Nirvana||MTV Unplugged In New York||About A Girl
Nirvana||MTV Unplugged In New York||All Apologies
Nirvana||MTV Unplugged In New York||Come As You Are
Nirvana||MTV Unplugged In New York||On A Plain
Nirvana||MTV Unplugged In New York||Pennyroyal Tea
Nirvana||MTV Unplugged In New York||Polly
Nirvana||MTV Unplugged In New York||Where Did You Sleep Last Night
Nirvana||Nevermind ||Breed 
Nirvana||Nevermind ||Come As You Are
Nirvana||Nevermind ||Drain You 
Nirvana||Nevermind ||Drain You 
Nirvana||Nevermind ||Immodium  
Nirvana||Nevermind ||In Bloom 
Nirvana||Nevermind ||Lithium
Nirvana||Nevermind ||On A Plain 
Nirvana||Nevermind ||Smells Like Teen Spirit
Nirvana||Nevermind ||Stay Away 
No Use for a Name||Making Friends||Invincible
No Use for a Name||More Betterness!||Chasing Rainbows
No Use for a Name||More Betterness!||Coming Too Close
No Use for a Name||More Betterness!||Let It Slide
No Use for a Name||More Betterness!||Pride
No Use for a Name||More Betterness!||Why Doesn't Anybody Like Me?
Okkervil River||Don't Fall In Love With Everyone You See||Red
Operation Ivy||Operation Ivy||Knowledge
Operation Ivy||Operation Ivy||Sound System
Orbital||Orbital 2||Halcyon and On and On
Otis Redding||The Very Best Of Otis Redding||I've Got Dreams To Remember
Otis Redding||The Very Best Of Otis Redding||Try A Little Tenderness
OutKast||Stankonia||B.O.B.
OutKast||Stankonia||Ms. Jackson
PJ Harvey||Let England Shake||Let England Shake
PRICK||Prick||I Got It Bad
PRICK||Prick||No Fair Fights
Panda Bear||Person Pitch||I'm Not
Parliament||Mothership Connection||P-Funk 
Paul Simon||Paul Simon||Congratulations
Paul Simon||Paul Simon||Me and Julio Down by the Schoolyard
Paul Simon||Paul Simon||Mother and Child Reunion
Paul Simon||Paul Simon||Run That Body Down
Paul van Dyk||Seven Ways||Words 
Pavement||Crooked Rain, Crooked Rain||Range Life
Pavement||Terror Twilight||Major Leagues
Pavement||Wowee Zowee||Rattled by the Rush
Pet Shop Boys||Alternative||It Must Be Obvious
Pet Shop Boys||Alternative||Miserablism
Pet Shop Boys||Alternative||Shameless
Pet Shop Boys||Alternative||That's My Impression
Pink Floyd||The Division Bell||High Hopes
Pink Floyd||The Wall||Comfortably Numb
Pink Floyd||The Wall||Goodbye Blue Sky
Pink Floyd||The Wall||The Thin Ice
Pixies||Bossanova||Stormy Weather
Pixies||Bossanova||The Happening
Pixies||Bossanova||Velouria
Pixies||Doolittle||Here Comes Your Man
Pixies||Doolittle||Hey
Pixies||Surfer Rosa ||Oh My Golly!
Pop Will Eat Itself||Cure For Sanity||Dance Of The Mad Bastards
Pop Will Eat Itself||This Is The Day...||Wise Up Sucker 
Portishead||Portishead||All Mine
Portishead||Portishead||Half Day Closing
Portishead||Portishead||Humming
Prefuse 73||One Word Extinguisher||Storm Returns 
Primus||Pork Soda||My Name Is Mud 
Primus||Pork Soda||The Air Is Getting Slippery 
Prince||Purple Rain||When Doves Cry
Public Enemy||Fear Of A Black Planet ||911 Is A Joke
Pulp||Different Class||F.E.E.L.I.N.G.C.A.L.L.E.D.L.O.V.E.
Pulp||Different Class||I Spy
Pulp||Different Class||Something Changed
Pulp||Different Class||Sorted For E's & Wizz
Pulp||His 'N' Hers||Acrylic Afternoons
Pulp||His 'N' Hers||Have You Seen Her Lately?
Pulp||His 'N' Hers||She's A Lady
Pulp||This Is Hardcore||Help The Aged
Pulp||This Is Hardcore||I'm A Man
Queensrÿche||Empire - 20th Anniversary Edition||Best I Can 
Queensrÿche||Empire - 20th Anniversary Edition||Jet City Woman 
Queensrÿche||Empire - 20th Anniversary Edition||Silent Lucidity 
Queensrÿche||Operation: Mindcrime ||I Remember Now 
Queensrÿche||Operation: Mindcrime ||Spreading The Disease 
Queen||A Night At The Opera ||'39 Live At Earl’s Court, London / June 1977
Queen||A Night At The Opera ||Bohemian Rhapsody
Queen||A Night At The Opera ||I'm In Love With My Car
Queen||A Night At The Opera ||Love Of My Life
R.E.M.||Automatic For The People ||Everybody Hurts
R.E.M.||Automatic For The People ||Man On The Moon
R.E.M.||Automatic For The People ||Sweetness Follows
R.E.M.||Automatic For The People ||Try Not To Breathe
R.E.M.||In Time: The Best Of R.E.M. 1988-2003||Bad Day
R.E.M.||In Time: The Best Of R.E.M. 1988-2003||Daysleeper
R.E.M.||In Time: The Best Of R.E.M. 1988-2003||Man On The Moon
R.E.M.||In Time: The Best Of R.E.M. 1988-2003||Nightswimming
R.E.M.||In Time: The Best Of R.E.M. 1988-2003||Orange Crush
R.E.M.||In Time: The Best Of R.E.M. 1988-2003||What's The Frequency, Kenneth?
R.E.M.||Murmur||Moral Kiosk
R.E.M.||Murmur||Radio Free Europe
R.E.M.||Murmur||Shaking Through
R.E.M.||Murmur||We Walk
R.E.M.||Part Lies, Part Heart, Part Truth, Part Garbage: 1982-2011||Everybody Hurts
R.E.M.||Part Lies, Part Heart, Part Truth, Part Garbage: 1982-2011||Losing My Religion
Radiohead||Amnesiac||Knives Out
Radiohead||Amnesiac||Like Spinning Plates
Radiohead||Amnesiac||You And Whose Army?
Radiohead||Hail To the Thief||Sail To The Moon
Radiohead||In Rainbows||House Of Cards
Radiohead||In Rainbows||Jigsaw Falling Into Place
Radiohead||Kid A||How To Disappear Completely
Radiohead||Kid A||Idioteque
Radiohead||Kid A||Motion Picture Soundtrack
Radiohead||OK Computer||Airbag
Radiohead||OK Computer||Exit Music 
Radiohead||OK Computer||Let Down
Radiohead||OK Computer||Lucky
Radiohead||OK Computer||Paranoid Android
Radiohead||OK Computer||Subterranean Homesick Alien
Radiohead||Pablo Honey||Creep
Radiohead||The Bends||
Radiohead||The Bends||Bullet Proof ... I Wish I Was
Radiohead||The Bends||High And Dry
Radiohead||The Bends||My Iron Lung
Radiohead||The Bends||Street Spirit 
Radiohead||The Bends||Sulk
Ramones||Ramones - 40th Anniversary Deluxe Edition ||Blitzkrieg Bop 
Ramones||Ramones ||Blitzkrieg Bop 
Ramones||Ramones ||I Wanna Be Your Boyfriend 
Ramones||Ramones ||Judy Is a Punk 
Ramones||Ramones ||Let's Dance 
Rancid||...And Out Come The Wolves ||Ruby Soho
Rancid||...And Out Come The Wolves ||Ruby Soho
Rancid||...And Out Come The Wolves ||The Way I Feel
Rancid||...And Out Come The Wolves ||Time Bomb
Rancid||Give Em The Boot||The Brothels
Randy Newman||Sail Away ||Last Night I Had A Dream 
Randy Newman||Sail Away ||Political Science 
Razed in Black||Covered In Black: An Industrial Tribute To The Kings Of High Voltage AC/DC||Hells Bells
Razed in Black||Industrial Revolution Third Edition: Rare & Unreleased||What's Fair?  
Razed in Black||Oh My Goth!||Master 
Razed in Black||Oh My Goth!||Oh My Goth! 
Razed in Black||Oh My Goth!||Oh My Goth! 
Razed in Black||Oh My Goth!||Overflow 
Razed in Black||Shrieks, Laments, And Anguished Cries||Pursuit
Red Hot Chili Peppers||Californication||Otherside
Republica||Republica||Bitch
Republica||Republica||Drop Dead Gorgeous
Republica||Republica||Ready to Go
Rod Stewart||Every Picture Tells A Story||Maggie May
Rufus Wainwright||Milwaukee At Last!!!||Going To A Town 
Rufus Wainwright||Poses||Cigarettes And Chocolate Milk Reprise
Rufus Wainwright||Poses||Grey Gardens Album Version
Rufus Wainwright||Rufus Wainwright||April Fools
Rufus Wainwright||Rufus Wainwright||Danny Boy
Run The Jewels||Run the Jewels 2||Early 
Ryan Adams||Heartbreaker||Come Pick Me Up
Ryan Adams||Heartbreaker||Oh My Sweet Carolina
Sarah Dougher||The Walls Ablaze||What She'd Trade
Savages||Silence Yourself||Husbands
Shadowy Men on a Shadowy Planet||Dim the Lights, Chill The Ham||Siesta Cinema
Sigur Rós||Ágætis Byrjun||Ný batterí
Sigur Rós||Ágætis Byrjun||Olsen Olsen
Sigur Rós||Ágætis Byrjun||Starálfur
Sigur Rós||Ágætis Byrjun||Svefn-g-englar
Sigur Rós||Ágætis Byrjun||Viðrar Vel Til Loftárása
Simon & Garfunkel||Bookends||A Hazy Shade of Winter
Simon & Garfunkel||Bookends||Bookends Theme
Simon & Garfunkel||Bookends||Fakin' It
Simon & Garfunkel||Bookends||Mrs. Robinson
Simon & Garfunkel||Bookends||Old Friends
Simon & Garfunkel||Greatest Hits||Scarborough Fair / Canticle
Siouxsie and The Banshees||Kaleidoscope||Happy House
Siouxsie and The Banshees||Kaleidoscope||Red Light
Siouxsie and The Banshees||Through The Looking Glass ||Gun
Siouxsie and The Banshees||Through The Looking Glass ||Hall Of Mirrors
Siouxsie and The Banshees||Through The Looking Glass ||This Town Ain't Big Enough For Both Of Us
Slint||Spiderland||Breadcrumb Trail
Sloan||One Chord to Another||Everything You've Done Wrong
Sloan||One Chord to Another||The Good in Everyone
Sloan||Pretty Together||I Love a Long Goodbye
Sloan||Pretty Together||If It Feels Good Do It
Sloan||Pretty Together||The Other Man
Social Distortion||Social Distortion||Ball and Chain
Social Distortion||Social Distortion||Story of My Life
Social Distortion||White Light White Heat White Trash||Crown Of Thorns 
Social Distortion||White Light White Heat White Trash||Gotta Know The Rules 
Social Distortion||White Light White Heat White Trash||Through These Eyes 
Social Distortion||White Light White Heat White Trash||Untitled 
Soft Cell||Non Stop Erotic Cabaret ||Tainted Love
Soft Cell||Non-Stop Erotic Cabaret||Chips On My Shoulder 
Soft Cell||Non-Stop Erotic Cabaret||Sex Dwarf 
Soul Coughing||Ruby Vroom||Janine
Soundgarden||Superunknown ||Black Hole Sun
Spahn Ranch||Industrial Madness||The Judas Cradle
Spice Girls||Wannabe||Wannabe 
Spoon||Kill the Moonlight||The Way We Get By
Spoon||They Want My Soul||Let Me Be Mine
St. Vincent||Strange Mercy||Cheerleader
Stephen Malkmus||Stephen Malkmus||Jenny & the Ess-Dog
Stevie Wonder||Innervisions||Golden Lady
Stevie Wonder||Innervisions||Living For The City
Stoa||Urthona||Hommage
Stubborn Allstars||Give Em The Boot||Open Season
Stubborn Allstars||Give Em The Boot||Open Season
Subhumans||The Day the Country Died||Black and White
Subhumans||The Day the Country Died||Subvert City
Sufjan Stevens||Illinois||Chicago
Sufjan Stevens||Seven Swans||In the Devil's Territory
Sufjan Stevens||Seven Swans||Sister
T. Rex||Electric Warrior||Bang A Gong [Get It On]
T. Rex||Electric Warrior||Life's A Gas
Talking Heads||Fear Of Music ||Cities 
Talking Heads||Fear Of Music ||Cities 
Talking Heads||More Songs About Buildings And Food ||Found A Job 
Talking Heads||Remain In Light ||Once In A Lifetime 
Talking Heads||True Stories ||Love For Sale 
Tame Impala||Lonerism||Endors Toi
Tame Impala||Lonerism||Feels Like We Only Go Backwards
Tame Impala||Lonerism||Nothing That Has Happened So Far Has Been Anything We Could Control
Tame Impala||Lonerism||Why Won't They Talk To Me?
Tears for Fears||20th Century Masters: The Millennium Collection: Best Of Tears For Fears||Shout
Tears for Fears||Elemental||Break It Down Again
Tears for Fears||Elemental||Brian Wilson Said
Tears for Fears||Elemental||Dog's A Best Friend's Dog
Tears for Fears||Elemental||Fish Out Of Water
Tears for Fears||Songs From The Big Chair ||Everybody Wants To Rule The World
Tears for Fears||Songs From The Big Chair ||Head Over Heels / Broken
Tears for Fears||Songs From The Big Chair ||Shout 
Tears for Fears||The Hurting ||Mad World
Television||Marquee Moon||Marquee Moon
Temple of the Dog||Temple Of The Dog||Say Hello 2 Heaven
The Auteurs||New Wave||Idiot Brother
The Auteurs||New Wave||Valet Parking
The Avalanches||Since I Left You||ETOH
The Band||Music From Big Pink||This Wheel's On Fire 
The Bats||Daddy's Highway||Block of Wood
The Bats||Daddy's Highway||Made up in Blue
The Bats||Daddy's Highway||North by North
The Beach Boys||Endless Summer||California Girls 
The Beach Boys||Endless Summer||Don't Worry Baby 
The Beach Boys||Endless Summer||Good Vibrations 
The Beach Boys||Endless Summer||Help Me, Rhonda
The Beach Boys||Endless Summer||I Get Around 
The Beach Boys||Endless Summer||Little Deuce Coupe 
The Beach Boys||Endless Summer||Surfin' U.S.A. 
The Beach Boys||Pet Sounds ||God Only Knows 
The Beach Boys||Pet Sounds ||Sloop John B 
The Beach Boys||Pet Sounds ||You Still Believe In Me 
The Beatles||Abbey Road ||Because Remastered
The Beatles||Abbey Road ||Carry That Weight Remastered
The Beatles||Abbey Road ||Come Together Remastered
The Beatles||Abbey Road ||Here Comes The Sun Remastered
The Beatles||Abbey Road ||Maxwell's Silver Hammer Remastered
The Beatles||Abbey Road ||Octopus's Garden Remastered
The Beatles||Abbey Road ||Something Remastered
The Beatles||Beatles For Sale ||Eight Days A Week 
The Beatles||Beatles For Sale ||Honey Don't 
The Beatles||Help! ||Act Naturally Remastered
The Beatles||Help! ||Help! Remastered
The Beatles||Help! ||The Night Before Remastered
The Beatles||Help! ||Yesterday Remastered
The Beatles||Help! ||You're Going To Lose That Girl Remastered
The Beatles||Let It Be ||Across The Universe Remastered
The Beatles||Magical Mystery Tour ||Hello, Goodbye Remastered
The Beatles||Magical Mystery Tour ||Penny Lane Remastered
The Beatles||Past Masters ||Across The Universe Remastered
The Beatles||Past Masters ||Day Tripper Remastered
The Beatles||Past Masters ||Hey Jude Remastered
The Beatles||Past Masters ||She Loves You Remastered
The Beatles||Please Please Me||A Taste of Honey
The Beatles||Revolver ||Eleanor Rigby 
The Beatles||Revolver ||Good Day Sunshine 
The Beatles||Revolver ||Yellow Submarine 
The Beatles||Rubber Soul ||Girl Remastered
The Beatles||Rubber Soul ||Norwegian Wood  Remastered
The Beatles||Rubber Soul ||Nowhere Man Remastered
The Beatles||Sgt. Pepper's Lonely Hearts Club Band ||A Day In The Life Remastered
The Beatles||Sgt. Pepper's Lonely Hearts Club Band ||Getting Better Remastered
The Beatles||Sgt. Pepper's Lonely Hearts Club Band ||Sgt. Pepper's Lonely Hearts Club Band Remastered
The Beatles||Sgt. Pepper's Lonely Hearts Club Band ||She's Leaving Home Remastered
The Beatles||Sgt. Pepper's Lonely Hearts Club Band ||With A Little Help From My Friends Remastered
The Beatles||The Beatles ||Back In The U.S.S.R. Remastered
The Beatles||The Beatles ||Dear Prudence Remastered
The Beatles||The Beatles ||Ob-La-Di, Ob-La-Da Remastered
The Beatles||The Beatles ||Rocky Raccoon Remastered
The Beatles||The Beatles ||While My Guitar Gently Weeps Remastered
The Beta Band||Heroes To Zeros||Easy
The Black Heart Procession||Amore del Tropico||Broken World
The Black Heart Procession||Amore del Tropico||Fingerprints
The Black Heart Procession||Amore del Tropico||Tropics of Love
The Books||The Lemon of Pink ||That Right Ain't Shit
The Cars||The Cars||Don't Cha Stop
The Clash||London Calling||I'm Not Down
The Clash||London Calling||Lost in the Supermarket
The Clash||London Calling||Spanish Bombs
The Clash||London Calling||Wrong 'Em Boyo
The Clash||The Clash||White Riot
The Concertgebouw Orchestra of Amsterdam||Prokofiev & Britten - Peter and the Wolf - The Young Person's Guide to the Orchestra||The Young Person's Guide to the Orchestra, Op. 34
The Crickets||The Definitive Collection||Oh Boy!
The Crystals||The Best Of The Crystals||And Then He Kissed Me
The Crystals||The Best Of The Crystals||Uptown
The Cure||Disintegration ||Disintegration
The Cure||Disintegration ||Pictures Of You
The Cure||Disintegration ||Pictures Of You 
The Cure||Disintegration ||Plainsong
The Cure||Faith||The Drowning Man 
The Cure||Greatest Hits||Lullaby 
The Cure||Kiss Me Kiss Me Kiss Me||Fight 
The Cure||Kiss Me Kiss Me Kiss Me||One More Time 
The Cure||Kiss Me Kiss Me Kiss Me||Torture 
The Cure||The Head On The Door||The Baby Screams 
The Cure||Wish||Doing The Unstuck
The Cure||Wish||From The Edge Of The Deep Green Sea
The Cure||Wish||Open
The Decemberists||Castaways and Cutouts||July, July!
The Decemberists||Castaways and Cutouts||Leslie Anne Levine
The Decemberists||Her Majesty The Decemberists||The Chimbley Sweep
The Decemberists||Picaresque||16 Military Wives
The Decemberists||Picaresque||The Mariner's Revenge Song
The Drifters||The Very Best of The Drifters||Stand by Me
The Electric Hellfire Club||Covered In Black: An Industrial Tribute To The Kings Of High Voltage AC/DC||Highway To Hell
The Everly Brothers||A Date With the Everly Brothers||Cathy's Clown
The Exploding Hearts||Guitar Romantic||I'm a Pretender
The Exploding Hearts||Guitar Romantic||Jailbird
The Faces||Rushmore||Ooh La La
The Faint||Blank-Wave Arcade||Worked Up So Sexual
The Fall||This Nation's Saving Grace||L.A.
The Flaming Lips||The Soft Bulletin||Buggin' 
The Flaming Lips||The Soft Bulletin||Race for the Prize 
The Flaming Lips||Yoshimi Battles The Pink Robots ||Yoshimi Battles The Pink Robots Part 1
The Gadjits||Give Em The Boot||Beautiful Girl
The Gadjits||Give Em The Boot||Beautiful Girl
The Jacksons||The Essential Michael Jackson||Blame It on the Boogie
The Jesus and Mary Chain||Psychocandy||Just Like Honey
The Jon Spencer Blues Explosion||Orange ||Full Grown
The Jon Spencer Blues Explosion||Orange||Full Grown
The Juliana Hatfield Three||Become What You Are||My Sister
The Juliana Hatfield Three||Become What You Are||Supermodel
The Juliana Hatfield Three||Whatever, My Love||I Don't Know What to Do with My Hands
The Juliana Hatfield Three||Whatever, My Love||Parking Lots
The Julie Ruin||Run Fast||Ha Ha Ha
The KLF||Songs Collection||What Time Is Love 
The Knife||Silent Shout||One Hit
The Lumineers||The Lumineers||Ho Hey
The Magnetic Fields||69 Love Songs||A Pretty Girl Is Like
The Magnetic Fields||69 Love Songs||Absolutely Cuckoo
The Magnetic Fields||69 Love Songs||Acoustic Guitar
The Magnetic Fields||69 Love Songs||Epitaph for My Heart
The Magnetic Fields||69 Love Songs||Fido, Your Leash Is Too Long
The Magnetic Fields||69 Love Songs||I Don't Believe in the Sun
The Magnetic Fields||69 Love Songs||I Don't Want to Get Over You
The Magnetic Fields||69 Love Songs||I'm Sorry I Love You
The Magnetic Fields||69 Love Songs||If You Don't Cry
The Magnetic Fields||69 Love Songs||It's a Crime
The Magnetic Fields||69 Love Songs||Let's Pretend We're Bunny Rabbits
The Magnetic Fields||69 Love Songs||Long-Forgotten Fairytale
The Magnetic Fields||69 Love Songs||Papa Was a Rodeo
The Magnetic Fields||69 Love Songs||The Cactus Where Your Heart Should Be
The Magnetic Fields||69 Love Songs||Washington, D.C.
The Magnetic Fields||69 Love Songs||Zebra
The Mountain Goats||Tallahassee||Have To Explode
The Mountain Goats||Tallahassee||No Children
The Mountain Goats||Tallahassee||Old College Try
The Mountain Goats||Tallahassee||See America Right
The Notorious B.I.G.||Ready To Die The Remaster||One More Chance
The Offspring||Smash||Self Esteem
The Postal Service||Give Up||Nothing Better 
The Postal Service||Give Up||Such Great Heights 
The Postal Service||Give Up||We Will Become Silhouettes 
The Rolling Stones||Aftermath ||Paint It Black
The Rolling Stones||Aftermath ||Under My Thumb
The Rolling Stones||Flowers ||Ruby Tuesday 
The Rolling Stones||Let It Bleed||Country Honk
The Rolling Stones||Let It Bleed||You Can't Always Get What You Want
The Rolling Stones||Some Girls||Beast Of Burden 
The Rolling Stones||Tattoo You ||Start Me Up
The Shangri-Las||The Best Of The Shangri-Las||Leader Of The Pack
The Shins||Chutes Too Narrow||Gone For Good 
The Shins||Chutes Too Narrow||Saint Simon 
The Shins||Chutes Too Narrow||So Says I 
The Shins||Chutes Too Narrow||Turn A Square 
The Smashing Pumpkins||Siamese Dream ||Disarm
The Smiths||Strangeways, Here We Come||A Rush And A Push And The Land Is Ours 
The Smiths||Strangeways, Here We Come||Last Night I Dreamt That Somebody Loved Me 
The Smiths||Strangeways, Here We Come||Paint A Vulgar Picture 
The Smiths||Strangeways, Here We Come||Unhappy Birthday 
The Smiths||The Queen Is Dead||Cemetry Gates 
The Smiths||The Queen Is Dead||Frankly, Mr. Shankly 
